ParcelNumber,Date,Price,ConveyanceTax
4440090180004,2024-04-22T10:00:00Z,722000,1444.00
4440080030000,2024-01-19T10:00:00Z,800000,1600.00
4440060020000,2024-03-07T10:00:00Z,2750000,13750.00
4440051170002,2024-04-11T10:00:00Z,400000,400.00
4440050460000,2024-02-05T10:00:00Z,432000,432.00
4440050460000,2024-03-28T10:00:00Z,200000,200.00
4440032000000,2024-04-17T10:00:00Z,490000,480.00
4440031790000,2024-02-02T10:00:00Z,800000,1600.00
4440031790000,2024-04-02T10:00:00Z,800000,ERROR
4440031620002,2024-01-26T10:00:00Z,1200000,3600.00
4440030700003,2024-02-07T10:00:00Z,435000,435.00
4440030280000,2024-03-25T10:00:00Z,1560000,6240.00
4440020330004,2024-04-03T10:00:00Z,900000,1800.00
4430110010053,2024-05-08T10:00:00Z,484000,726.00
4430110010036,2024-03-21T10:00:00Z,349000,349.00
4430110010031,2024-04-18T10:00:00Z,250000,250.00
4430110010001,2024-02-02T10:00:00Z,350000,350.00
4430090440000,2024-04-01T10:00:00Z,700000,1400.00
4430090410010,2024-01-29T10:00:00Z,800000,2000.00
4430090360000,2024-02-26T10:00:00Z,1118000,ERROR
4430090300000,2024-04-30T10:00:00Z,1050000,3150.00
4430090040017,2024-05-23T10:00:00Z,769000,1922.50
4430080010184,2024-04-08T10:00:00Z,994800,2487.00
4430080010135,2024-05-10T10:00:00Z,999000,2487.50
4430080010040,2024-02-14T10:00:00Z,1475000,5900.00
4430080010030,2024-04-02T10:00:00Z,1345000,5380.00
4430080010029,2024-04-19T10:00:00Z,1300000,ERROR
4430080010004,2024-01-29T10:00:00Z,1800000,7200.00
4430030010001,2024-05-03T10:00:00Z,9500000,85500.00
4430030010000,2024-05-03T10:00:00Z,9500000,85500.00
4430020170160,2024-06-10T10:00:00Z,510000,ERROR
4430020170130,2024-01-24T10:00:00Z,555000,832.50
4430020170124,2024-01-12T10:00:00Z,486000,729.00
4430020170119,2024-04-08T10:00:00Z,525000,787.50
4430020170089,2024-05-29T10:00:00Z,490000,735.00
4430020170082,2024-02-23T10:00:00Z,430000,645.00
4430020170075,2024-04-05T10:00:00Z,474220,ERROR
4430020170037,2024-06-06T10:00:00Z,475000,ERROR
4430020170033,2024-03-01T10:00:00Z,485000,727.50
4430020130196,2024-04-30T10:00:00Z,500000,750.00
4430020130155,2024-04-02T10:00:00Z,499000,748.50
4430020130123,2024-03-04T10:00:00Z,538000,807.00
4430020130089,2024-03-18T10:00:00Z,518000,777.00
4430020100078,2024-04-05T10:00:00Z,1525000,6100.00
4430020100034,2024-04-08T10:00:00Z,1000000,4000.00
4420220550000,2024-01-19T10:00:00Z,1050000,3150.00
4420200210000,2024-03-05T10:00:00Z,1400000,4200.00
4420200150000,2024-03-25T10:00:00Z,1800000,7200.00
4420190310000,2024-06-07T10:00:00Z,1700000,6800.00
4420170150000,2024-01-22T10:00:00Z,1039000,3117.00
4420160570000,2024-04-12T10:00:00Z,1600000,6400.00
4420150520000,2024-05-01T10:00:00Z,1600000,6400.00
4420140810000,2024-01-25T10:00:00Z,1200000,3600.00
4420140150000,2024-05-14T10:00:00Z,1250000,3750.00
4420120070000,2024-01-03T10:00:00Z,560000,560.00
4420110270000,2024-03-28T10:00:00Z,990000,1980.00
4420070100000,2024-06-26T10:00:00Z,975000,1950.00
4420061380000,2024-02-23T10:00:00Z,810000,1620.00
4420060420002,2024-01-31T10:00:00Z,699000,1747.50
4410081080000,2024-06-26T10:00:00Z,670000,1340.00
4410080530000,2024-06-04T10:00:00Z,809000,1618.00
4410080510000,2024-06-13T10:00:00Z,950000,1900.00
4410071200003,2024-06-03T10:00:00Z,965000,1930.00
4410071180001,2024-05-15T10:00:00Z,935000,2337.50
4410050010013,2024-04-18T10:00:00Z,1700000,6800.00
4410050010003,2024-04-18T10:00:00Z,1700000,6800.00
4390060040059,2024-03-05T10:00:00Z,1300000,5200.00
4380180030000,2024-01-31T10:00:00Z,3021560,15107.80
4380140100000,2024-04-26T10:00:00Z,910000,2275.00
4380140070000,2024-06-28T10:00:00Z,970000,1940.00
4380131040000,2024-05-03T10:00:00Z,840000,2100.00
4380130010000,2024-04-24T10:00:00Z,300000,450.00
4380090390000,2024-03-27T10:00:00Z,1080000,3240.00
4380080100000,2024-05-28T10:00:00Z,1250000,3750.00
4380070430000,2024-03-12T10:00:00Z,540000,810.00
4380050220003,2024-02-29T10:00:00Z,4000000,34000.00
4380050220002,2024-02-29T10:00:00Z,6000000,66000.00
4370080590000,2024-03-27T10:00:00Z,791000,ERROR
4370080540000,2024-04-19T10:00:00Z,850000,1700.00
4370030150335,2024-04-01T10:00:00Z,335000,502.50
4370030150300,2024-03-05T10:00:00Z,330000,495.00
4370030150280,2024-06-21T10:00:00Z,317000,475.50
4370030150256,2024-06-13T10:00:00Z,320000,480.00
4370030150230,2024-05-10T10:00:00Z,341700,512.60
4370030150229,2024-05-10T10:00:00Z,357000,535.50
4370030150206,2024-05-24T10:00:00Z,270000,405.00
4370030150188,2024-03-14T10:00:00Z,310000,310.00
4370030150168,2024-02-05T10:00:00Z,315000,472.50
4370030150139,2024-03-06T10:00:00Z,345000,517.50
4370030150102,2024-02-02T10:00:00Z,310000,465.00
4370030150069,2024-01-02T10:00:00Z,345000,517.50
4370030150052,2024-02-05T10:00:00Z,230000,345.00
4360180080000,2024-06-04T10:00:00Z,475312,475.30
4360160400000,2024-02-09T10:00:00Z,860000,1720.00
4360150040000,2024-06-05T10:00:00Z,1405000,4215.00
4360110010000,2024-06-03T10:00:00Z,925000,1850.00
4360100010004,2024-06-24T10:00:00Z,449000,449.00
4360090260000,2024-02-15T10:00:00Z,1500000,6000.00
4360090250000,2024-02-15T10:00:00Z,1500000,6000.00
4360090240000,2024-02-15T10:00:00Z,1500000,6000.00
4360060210000,2024-02-07T10:00:00Z,1400000,5600.00
4360060210000,2024-02-08T10:00:00Z,800000,1600.00
4360060210000,2024-11-29T10:00:00Z,1447953,5791.80
4360060140000,2024-02-09T10:00:00Z,1100000,3300.00
4360040190013,2024-01-26T10:00:00Z,435000,435.00
4360030260062,2024-06-18T10:00:00Z,544000,544.00
4360030260054,2024-04-15T10:00:00Z,525000,525.00
4360030260053,2024-03-01T10:00:00Z,580000,870.00
4360030260007,2024-02-23T10:00:00Z,610000,1220.00
4360030230017,2024-02-22T10:00:00Z,425000,425.00
4350044170000,2024-04-02T10:00:00Z,1000000,3000.00
4350044140000,2024-01-16T10:00:00Z,995000,1990.00
4350044070000,2024-05-08T10:00:00Z,1027000,3081.00
4350044010000,2024-06-14T10:00:00Z,985000,1970.00
4350020330002,2024-05-16T10:00:00Z,1950000,7800.00
4350012160062,2024-01-04T10:00:00Z,7250000,73.750
4350012160020,2024-02-09T10:00:00Z,4200000,29
4330211170000,2024-04-30T10:00:00Z,649000,1288.00
4330190340000,2024-05-10T10:00:00Z,929000,1858.00
4330171760000,2024-04-26T10:00:00Z,1900000,5700.00
4330171090000,2024-01-22T10:00:00Z,2600000,13000.00
4330160590000,2024-01-31T10:00:00Z,1595000,4785.00
4330160570000,2024-03-22T10:00:00Z,1500000,4500.00
4330160360000,2024-05-06T10:00:00Z,1495000,5980.00
4330100350000,2024-04-12T10:00:00Z,3338000,16690.00
4330090520000,2024-05-22T10:00:00Z,435000,652.50
4330080880000,2024-04-18T10:00:00Z,980000,1960.00
4330060050000,2024-06-25T10:00:00Z,5200000,36400.00
4330030480007,2024-02-08T10:00:00Z,815000,2037.50
4330030390100,2024-05-20T10:00:00Z,900000,1800.00
4330030390060,2024-06-14T10:00:00Z,855000,2137.50
4330030370011,2024-04-08T10:00:00Z,835000,1670.00
4330030360014,2024-02-14T10:00:00Z,595000,892.50
4330030360004,2024-06-24T10:00:00Z,830000,2075.00
4330030300083,2024-01-05T10:00:00Z,429900,429.90
4330030300082,2024-04-05T10:00:00Z,558000,558.00
4330030290064,2024-02-16T10:00:00Z,535000,535.00
4330030290046,2024-05-13T10:00:00Z,525000,787.50
4330030280099,2024-06-14T10:00:00Z,514900,772.40
4330030280030,2024-04-11T10:00:00Z,585000,585.00
4330030280004,2024-02-23T10:00:00Z,485000,485.00
4330030260000,2024-01-31T10:00:00Z,2500000,12500.00
4320080170000,2024-06-07T10:00:00Z,815000,1630.00
4320070180006,2024-05-15T10:00:00Z,695000,1390.00
4320070180004,2024-05-17T10:00:00Z,368000,368.00
4320070180002,2024-02-02T10:00:00Z,800000,1600.00
4320050080141,2024-01-19T10:00:00Z,795000,ERROR
4320050080127,2024-05-24T10:00:00Z,699000,1747.50
4320050080115,2024-06-27T10:00:00Z,750000,1875.00
4320050080113,2024-03-11T10:00:00Z,630000,1575.00
4320050080110,2024-03-06T10:00:00Z,699000,1398.00
4320050080061,2024-03-05T10:00:00Z,559000,838.50
4320050080044,2024-05-24T10:00:00Z,767500,1918.80
4320050080027,2024-04-02T10:00:00Z,755000,1887.50
4320020360003,2024-06-19T10:00:00Z,599000,593.00
4320020360001,2024-06-19T10:00:00Z,584300,584.30
